Date,Gains,Multi Day Gains,SMA Gains,Stoch RSI,Single Day Volume,Buy,Stoch Avg,SMA Gains Avg,Buys Avg
4/3/2000,0.01,0.02,0,0.6,-0.08,0,0.73,0,0
4/4/2000,-0.01,0,0,0.5,1.3,0,0.65,0,0
4/5/2000,-0.01,-0.01,0,0.1,-0.57,0,0.53,0,0
4/6/2000,0.01,0,0,0,-0.24,0,0.42,0,0
4/7/2000,0.01,0.02,0,0.2,-0.06,0,0.32,0,0
4/10/2000,0,0,0.01,0.3,0.6,0,0.28,0,0
4/11/2000,0,-0.01,0,0.2,-0.06,0,0.22,0,0
4/12/2000,-0.03,-0.03,-0.01,0.1,0.2,0,0.15,0,0
4/13/2000,-0.01,-0.04,-0.01,0,0.13,0,0.13,0,0.167
4/14/2000,-0.06,-0.07,-0.03,0,1.42,1,0.13,-0.01,0.167
4/17/2000,0.03,-0.02,-0.01,0,-0.19,0,0.1,-0.01,0.167
4/18/2000,0.03,0.06,0,0.3,-0.54,0,0.1,-0.01,0.167
4/19/2000,-0.01,0.02,0.02,0.5,-0.41,0,0.15,-0.01,0.167
4/20/2000,0,0,0.01,0.5,0.3,0,0.22,0,0.167
4/24/2000,-0.01,-0.01,-0.01,0.5,0.51,0,0.3,0,-0.167
4/25/2000,0.04,0.03,0.01,0.5,0.09,-1,0.38,0,-0.167
4/26/2000,-0.01,0.03,0.01,0.8,-0.45,0,0.52,0.01,-0.167
4/27/2000,0,-0.01,0.01,0.7,1.02,0,0.58,0.01,-0.167
4/28/2000,-0.01,-0.01,-0.01,0.7,-0.44,0,0.62,0,-0.167
5/1/2000,0.01,0.01,0,0.7,-0.16,0,0.65,0,-0.167
5/2/2000,-0.02,-0.01,-0.01,0.8,0.28,0,0.7,0,0
5/3/2000,-0.02,-0.04,-0.01,0.7,0.34,0,0.73,0,0
5/4/2000,0.01,-0.02,-0.01,0.5,-0.53,0,0.68,-0.01,0
5/5/2000,0.01,0.02,0,0.6,0.32,0,0.67,-0.01,0
5/8/2000,-0.01,0,0,0.5,-0.36,0,0.63,-0.01,0
5/9/2000,-0.01,-0.02,0,0.3,0.11,0,0.57,-0.01,0
5/10/2000,-0.02,-0.03,-0.01,0.1,0.83,0,0.45,-0.01,0
5/11/2000,0.02,0,0,0,-0.31,0,0.33,0,0
5/12/2000,0.01,0.03,0,0.4,-0.16,0,0.32,0,0
5/15/2000,0.02,0.03,0.02,0.6,-0.25,0,0.32,0,0
5/16/2000,0.01,0.03,0.01,1,0.84,0,0.4,0,0
5/17/2000,-0.01,0,0.01,1,-0.28,0,0.52,0.01,0
5/18/2000,-0.01,-0.02,0,0.8,-0.27,0,0.63,0.01,0
5/19/2000,-0.02,-0.03,-0.01,0.6,0.51,0,0.73,0.01,0
5/22/2000,-0.01,-0.02,-0.01,0.4,0.66,0,0.73,0,0
5/23/2000,-0.01,-0.02,-0.01,0.3,-0.26,0,0.68,0,0
5/24/2000,0.02,0,0,0.1,0.39,0,0.53,0,0.167
5/25/2000,-0.02,0,0,0.4,-0.25,1,0.43,-0.01,0.167
5/26/2000,0,-0.02,0,0.1,-0.42,0,0.32,-0.01,0.167
5/30/2000,0.03,0.03,0,0.1,0.11,0,0.23,0,0.167
5/31/2000,0,0.03,0.01,0.7,0.13,0,0.28,0,0.167
6/1/2000,0.02,0.02,0.02,0.7,0.48,0,0.35,0.01,0
6/2/2000,0.02,0.04,0.01,1,0,-1,0.5,0.01,-0.167
6/5/2000,0,0.01,0.01,1,-0.22,0,0.6,0.01,-0.167
6/6/2000,0,-0.01,0.01,0.9,-0.31,0,0.73,0.01,-0.167
6/7/2000,0.01,0,0,0.8,0.01,0,0.85,0.01,-0.167
6/8/2000,0,0,0,0.9,0.16,0,0.88,0.01,-0.167
6/9/2000,0,-0.01,0,0.9,-0.46,0,0.92,0.01,0
6/12/2000,-0.01,-0.01,0,0.8,0.19,0,0.88,0,0
6/13/2000,0.02,0.01,0,0.6,0.78,0,0.82,0,0
6/14/2000,0,0.02,0,0.9,-0.02,0,0.82,0,0
6/15/2000,0,0,0.01,0.9,-0.08,0,0.83,0,0
6/16/2000,-0.01,-0.01,0,0.9,-0.05,0,0.83,0,0
6/19/2000,0.01,0,0,0.4,-0.08,0,0.75,0,0
6/20/2000,0,0.01,0,0.8,0.27,0,0.75,0,0
6/21/2000,0,0,0,0.6,-0.52,0,0.75,0,0
6/22/2000,-0.02,-0.02,-0.01,0.6,1.4,0,0.7,0,0
6/23/2000,-0.01,-0.02,-0.01,0,-0.35,0,0.55,0,0
6/26/2000,0.01,0,-0.01,0,0.07,0,0.4,-0.01,0
6/27/2000,-0.01,0.01,0,0.4,-0.2,0,0.4,-0.01,0
6/28/2000,0,0,0,0.2,0.29,0,0.3,-0.01,0
6/29/2000,-0.01,-0.01,-0.01,0.3,0.19,0,0.25,-0.01,0
6/30/2000,0.01,0,0,0,0.17,0,0.15,-0.01,0
7/3/2000,0.01,0.02,0,0.3,-0.81,0,0.2,0,0
7/5/2000,-0.02,0,0,0.7,0.91,0,0.32,0,0
7/6/2000,0.01,-0.01,0,0.1,1.17,0,0.27,0,0
7/7/2000,0.02,0.02,0,0.4,-0.49,0,0.3,0,0
7/10/2000,0,0.01,0.01,0.8,-0.07,0,0.38,0,0
7/11/2000,0,0,0.01,0.9,0.93,0,0.53,0,0
7/12/2000,0.01,0.01,0,1,0.08,0,0.65,0,0
7/13/2000,0,0.01,0,1,-0.09,0,0.7,0,0
7/14/2000,0.01,0.01,0.01,1,0,0,0.85,0.01,0
7/17/2000,0,0.01,0,1,-0.21,0,0.95,0.01,0
7/18/2000,-0.01,-0.01,0,1,0.01,0,0.98,0,0
7/19/2000,-0.01,-0.02,-0.01,0.7,1,0,0.95,0,0
7/20/2000,0.01,0.01,0,0.4,-0.47,0,0.85,0,0
7/21/2000,-0.02,-0.01,-0.01,0.7,0.25,0,0.8,0,0
7/24/2000,-0.01,-0.03,-0.01,0.2,-0.01,0,0.67,-0.01,0
7/25/2000,0,0,-0.01,0,-0.15,0,0.5,-0.01,0
7/26/2000,-0.01,-0.01,-0.01,0.1,1.54,0,0.35,-0.01,0
7/27/2000,0,-0.01,0,0,-0.37,0,0.23,-0.01,0.167
7/28/2000,-0.02,-0.03,-0.01,0,-0.19,1,0.17,-0.01,0.167
7/31/2000,0.01,-0.02,0,0,-0.15,0,0.05,-0.01,0.167
8/1/2000,0.01,0.01,0,0.1,-0.25,0,0.03,-0.01,0.167
8/2/2000,0,0.01,0.01,0.2,0.89,0,0.07,0,0.167
8/3/2000,0.01,0.01,0.01,0.3,-0.38,0,0.1,0,0.167
8/4/2000,0.01,0.01,0.01,0.4,-0.2,0,0.17,0,0
8/7/2000,0.01,0.02,0.01,0.6,0.13,0,0.27,0.01,-0.167
8/8/2000,0,0.02,0.01,0.8,-0.12,-1,0.4,0.01,-0.167
8/9/2000,-0.01,0,0,0.9,0.47,0,0.53,0.01,0
8/10/2000,0,-0.01,0,0.8,-0.22,1,0.63,0.01,0
8/11/2000,0,0,0,0.7,0.21,0,0.7,0.01,0
8/14/2000,0.01,0.02,0,0.8,-0.42,0,0.77,0,0
8/15/2000,0,0.01,0,1,0.88,0,0.83,0,0.167
8/16/2000,0,0,0,1,-0.07,0,0.87,0,0.167
8/17/2000,0.01,0.01,0,0.9,0.09,0,0.87,0,0
8/18/2000,0,0.01,0,1,-0.18,0,0.9,0,0
8/21/2000,0.01,0,0.01,0.9,-0.49,0,0.93,0,0
8/22/2000,0,0,0,1,0.29,0,0.97,0,0
8/23/2000,0,0,0,0.9,0.78,0,0.95,0,0
8/24/2000,0,0.01,0,1,-0.17,0,0.95,0,0
8/25/2000,0,0,0,1,-0.38,0,0.97,0,0
8/28/2000,0,0,0,1,0.96,0,0.97,0,-0.167
8/29/2000,0,0,0,1,-0.35,-1,0.98,0,-0.167
8/30/2000,-0.01,-0.01,0,1,0.11,0,0.98,0,-0.167
8/31/2000,0.01,0,0,0.3,0.23,0,0.88,0,-0.167
9/1/2000,0,0.01,0,0.9,-0.34,0,0.87,0,-0.167
9/5/2000,-0.01,-0.01,0,0.9,0.09,0,0.85,0,0
9/6/2000,-0.01,-0.02,-0.01,0.2,0.25,1,0.72,0,0
9/7/2000,0.01,0,0,0,-0.01,-1,0.55,0,0
9/8/2000,-0.01,0,0,0.3,-0.18,0,0.43,0,0
9/11/2000,0,-0.01,0,0.1,0.12,0,0.4,0,0.167
9/12/2000,-0.01,-0.01,-0.01,0,0.21,1,0.25,0,0.167
9/13/2000,0,0,0,0,0.61,0,0.1,0,-0.167
9/14/2000,0.01,0.01,0,0.1,-0.56,-1,0.08,0,0
9/15/2000,-0.02,-0.02,0,0.3,0.2,0,0.13,0,0
9/18/2000,-0.01,-0.03,-0.01,0,0.25,0,0.08,0,0
9/19/2000,0.01,0,-0.01,0,0.29,0,0.07,-0.01,-0.167
9/20/2000,-0.01,0,0,0.2,-0.01,0,0.1,0,0
9/21/2000,-0.02,-0.02,-0.01,0.1,-0.08,1,0.12,-0.01,0
9/22/2000,0.02,0,0,0,0.3,-1,0.1,-0.01,0
9/25/2000,-0.01,0.01,0,0.4,0.25,0,0.12,-0.01,0.167
9/26/2000,-0.01,-0.02,0,0.3,-0.45,1,0.17,0,0.167
9/27/2000,0.01,-0.01,0,0.2,0.36,0,0.2,0,0
9/28/2000,0.01,0.02,0,0.3,-0.02,-1,0.22,0,-0.167
9/29/2000,-0.01,0,0,0.7,0.33,0,0.32,0,0
10/2/2000,0,-0.01,0,0.5,-0.41,0,0.4,0,0
10/3/2000,-0.01,-0.01,-0.01,0.5,0.69,0,0.42,0,-0.167
10/4/2000,0.01,0,0,0.4,-0.34,0,0.43,0,-0.167
10/5/2000,0,0.01,0,0.9,-0.26,0,0.55,0,0
10/6/2000,-0.02,-0.02,0,1,1.19,0,0.67,0,0
10/9/2000,-0.01,-0.03,-0.01,0.4,-0.55,0,0.62,0,0
10/10/2000,-0.02,-0.02,-0.02,0.2,0.35,0,0.57,-0.01,0
10/11/2000,-0.01,-0.02,-0.01,0,0.69,0,0.48,-0.01,0.167
10/12/2000,-0.02,-0.03,-0.02,0,0.19,1,0.42,-0.01,0.167
10/13/2000,0.03,0.01,0,0,-0.05,0,0.27,-0.01,0.167
10/16/2000,0,0.04,0,0.7,-0.52,0,0.22,-0.01,0.167
10/17/2000,-0.02,-0.02,0,0.8,0.38,0,0.28,-0.01,0
10/18/2000,0,-0.03,-0.01,0.5,0.39,-1,0.33,-0.01,0
10/19/2000,0.04,0.03,0.01,0.5,-0.2,0,0.42,0,-0.167
10/20/2000,0,0.04,0.01,1,-0.16,0,0.58,0,-0.167
10/23/2000,0,0.01,0.01,1,-0.28,0,0.75,0,-0.167
10/24/2000,-0.01,0,0,1,0.09,0,0.8,0,-0.167
10/25/2000,-0.02,-0.03,-0.01,0.9,0.59,0,0.82,0,0.167
10/26/2000,0,-0.02,-0.01,0.7,0.02,1,0.85,0,0.167
10/27/2000,0.02,0.02,0,0.7,0.04,0,0.88,0,0.167
10/30/2000,0.01,0.03,0.01,1,0.04,0,0.88,0,0
10/31/2000,0.02,0.03,0.02,1,-0.24,-1,0.88,0,0
11/1/2000,0,0.01,0.01,1,-0.13,0,0.88,0,0
11/2/2000,0,0,0.01,1,0.69,0,0.9,0.01,-0.167
11/3/2000,0,0,0,1,-0.54,0,0.95,0.01,-0.167
11/6/2000,0.01,0.01,0,1,-0.22,0,1,0.01,-0.167
11/7/2000,0,0.01,0,1,0.29,0,1,0.01,0
11/8/2000,-0.02,-0.02,0,1,0.17,0,1,0,0
11/9/2000,0,-0.03,-0.01,0.5,0.74,0,0.92,0,0
11/10/2000,-0.02,-0.03,-0.01,0.4,-0.19,0,0.82,0,0.167
11/13/2000,-0.01,-0.03,-0.01,0,1.02,1,0.65,-0.01,0.167
11/14/2000,0.03,0.02,0,0,-0.56,0,0.48,-0.01,0
11/15/2000,0,0.03,0.01,0.5,0.15,-1,0.4,0,0
11/16/2000,-0.02,-0.01,0,0.5,-0.24,0,0.32,0,0
11/17/2000,-0.01,-0.02,-0.01,0.3,-0.02,0,0.28,0,0
11/20/2000,-0.01,-0.02,-0.01,0.2,-0.17,0,0.25,0,-0.167
11/21/2000,0.01,-0.01,0,0,0.41,0,0.25,0,0
11/22/2000,-0.02,-0.02,-0.01,0.1,-0.25,1,0.27,0,0.167
11/24/2000,0.02,0,0,0,-0.41,0,0.18,-0.01,0
11/27/2000,0.01,0.03,0,0.3,0.76,-1,0.15,-0.01,0
11/28/2000,-0.02,-0.01,0,0.5,-0.11,0,0.18,0,0
11/29/2000,0,-0.02,0,0.4,0.3,0,0.22,0,0
11/30/2000,-0.01,-0.01,-0.01,0.4,0.62,0,0.28,0,0
12/1/2000,0,-0.01,0,0.3,-0.32,1,0.32,0,0
12/4/2000,0.01,0.01,0,0.2,-0.08,0,0.35,0,0
12/5/2000,0.03,0.04,0.01,0.5,0.27,-1,0.38,0,0
12/6/2000,-0.02,0.02,0.01,1,0.45,0,0.47,0,0.167
12/7/2000,-0.01,-0.03,0,0.7,-0.49,1,0.52,0,0.167
12/8/2000,0,-0.01,-0.01,0.5,0.57,0,0.53,0,-0.167
12/11/2000,0.03,0.04,0.01,0.6,-0.38,-1,0.58,0,-0.167
12/12/2000,0,0.03,0.01,1,-0.22,0,0.72,0.01,0
12/13/2000,-0.01,-0.02,0.01,0.9,0.21,0,0.78,0.01,0
12/14/2000,-0.01,-0.03,-0.01,0.7,0.26,0,0.73,0,0
12/15/2000,-0.02,-0.04,-0.01,0.5,0.18,1,0.7,0,-0.167
12/18/2000,0.01,-0.01,-0.01,0.1,-0.2,-1,0.63,0,0
12/19/2000,-0.02,-0.01,-0.01,0.4,0.33,0,0.6,0,0.167
12/20/2000,-0.03,-0.05,-0.01,0.1,0.04,1,0.45,-0.01,0.167
12/21/2000,0.01,-0.02,-0.01,0,0.43,0,0.3,-0.01,0
12/22/2000,0.03,0.04,0,0.1,-0.29,-1,0.2,-0.01,-0.167
12/26/2000,0.01,0.04,0.02,0.5,-0.54,0,0.2,0,0
12/27/2000,0.01,0.02,0.02,0.6,0.04,0,0.28,0,0
12/28/2000,0,0.01,0.01,0.7,0.72,0,0.33,0.01,-0.167
12/29/2000,-0.02,-0.02,0,0.8,0.05,0,0.45,0.01,0
1/2/2001,-0.02,-0.04,-0.01,0.5,0,1,0.53,0.01,0
1/3/2001,0.05,0.03,0,0.4,1.22,-1,0.58,0.01,0
1/4/2001,-0.01,0.04,0.01,1,-0.53,0,0.67,0.01,0.167
1/5/2001,-0.03,-0.04,0,0.9,0.4,1,0.72,0,0.167
1/8/2001,0.01,-0.03,-0.01,0.5,-0.49,0,0.68,0,0.167
1/9/2001,0,0.01,-0.01,0.6,-0.14,0,0.65,0,-0.167
1/10/2001,0.02,0.01,0.01,0.6,0.53,-1,0.67,0,0
1/11/2001,0,0.02,0.01,0.8,-0.17,0,0.73,0,0
1/12/2001,0,0,0.01,0.8,0,0,0.7,0,-0.167
1/16/2001,0.01,0,0,0.7,0.18,0,0.67,0,-0.167
1/17/2001,0,0.01,0,0.8,-0.08,0,0.72,0,-0.167
1/18/2001,0.01,0.01,0.01,0.9,0.03,0,0.77,0.01,0
1/19/2001,-0.01,0,0,1,-0.04,0,0.83,0.01,0
1/22/2001,0.01,0,0,0.9,-0.09,0,0.85,0,0
1/23/2001,0.01,0.01,0,1,0.2,0,0.88,0,0
1/24/2001,0,0.01,0.01,1,-0.27,0,0.93,0,0
1/25/2001,0,0,0,1,0.74,0,0.97,0,0
1/26/2001,0,0,0,0.9,-0.34,0,0.97,0,0
1/29/2001,0.01,0,0,0.9,-0.06,0,0.95,0,0
1/30/2001,0.01,0.01,0.01,1,0.05,0,0.97,0,0
1/31/2001,-0.01,0,0,1,0.37,0,0.97,0,0
2/1/2001,0.01,0,0,0.8,-0.15,0,0.93,0,0.167
2/2/2001,-0.02,-0.02,-0.01,1,0,1,0.93,0,0
2/5/2001,0.01,-0.02,0,0,-0.47,-1,0.78,0,0
2/6/2001,0,0,0,0.3,0.63,0,0.68,0,0
2/7/2001,-0.01,-0.01,0,0.1,-0.19,0,0.53,0,0
2/8/2001,-0.01,-0.02,-0.01,0,0.03,0,0.37,0,0.167
2/9/2001,-0.01,-0.02,-0.01,0,0.67,1,0.23,-0.01,-0.167
2/12/2001,0.01,0,0,0,-0.41,-1,0.07,0,0
2/13/2001,-0.01,0,0,0.3,0.13,0,0.12,0,0.167
2/14/2001,0,-0.01,0,0.1,0.28,1,0.08,0,0
2/15/2001,0.01,0.01,0,0.1,-0.29,-1,0.08,0,0
2/16/2001,-0.02,-0.01,0,0.3,0.09,0,0.13,0,-0.167
2/20/2001,-0.02,-0.04,-0.01,0,-0.1,0,0.13,0,0
2/21/2001,-0.02,-0.04,-0.02,0,0.89,0,0.13,-0.01,0
2/22/2001,0,-0.02,-0.01,0,0.95,0,0.08,-0.01,0
2/23/2001,-0.01,-0.01,-0.01,0,-0.05,1,0.07,-0.01,0
2/26/2001,0.02,0.01,0,0,-0.43,-1,0.05,-0.01,0
2/27/2001,-0.01,0.01,0,0.4,-0.01,0,0.07,-0.01,0.167
2/28/2001,-0.02,-0.03,0,0.4,0.3,1,0.13,-0.01,0.167
3/1/2001,0.01,-0.01,-0.01,0.1,-0.01,0,0.15,-0.01,0.167
3/2/2001,-0.01,0,-0.01,0.3,-0.14,0,0.2,-0.01,0
3/5/2001,0.01,0,0,0.2,-0.58,0,0.23,0,0.167
3/6/2001,0.01,0.02,0,0.4,0.31,0,0.3,0,0.167
3/7/2001,0.01,0.02,0.01,0.6,-0.08,0,0.33,0,-0.167
3/8/2001,0,0.01,0.01,0.8,-0.05,-1,0.4,0,-0.167
3/9/2001,-0.03,-0.03,-0.01,1,0.65,0,0.55,0,0
3/12/2001,-0.04,-0.07,-0.02,0.4,0.39,1,0.57,0,-0.167
3/13/2001,0.02,-0.03,-0.02,0,-0.08,-1,0.53,-0.01,-0.167
3/14/2001,-0.02,0,-0.01,0.4,0.54,0,0.53,-0.01,-0.167
3/15/2001,0,-0.02,0,0.2,-0.48,0,0.47,-0.01,0.167
3/16/2001,-0.02,-0.02,-0.01,0.2,4.64,1,0.37,-0.01,0
3/19/2001,0.02,0,0,0,-0.83,-1,0.2,-0.01,-0.167
3/20/2001,-0.03,-0.01,-0.01,0.4,0.5,0,0.2,-0.01,0
3/21/2001,-0.02,-0.04,-0.01,0.2,0.26,0,0.23,-0.01,0.167
3/22/2001,-0.01,-0.03,-0.02,0,0.51,1,0.17,-0.01,0.167
3/23/2001,0.03,0.02,0,0,-0.55,0,0.13,-0.01,0
3/26/2001,0.01,0.04,0.01,0.5,-0.23,0,0.18,-0.01,0
3/27/2001,0.02,0.03,0.02,0.7,0.3,-1,0.3,0,0.167
3/28/2001,-0.03,-0.01,0,1,-0.15,1,0.4,0,0.167
3/29/2001,0,-0.02,0,0.7,0.1,0,0.48,0,-0.167
3/30/2001,0.01,0.01,-0.01,0.8,-0.24,-1,0.62,0,-0.167
4/2/2001,-0.02,-0.01,0,0.9,0.15,0,0.77,0,0
4/3/2001,-0.03,-0.05,-0.01,0.7,0.22,1,0.8,0,0.167
4/4/2001,0,-0.03,-0.02,0.4,0.16,0,0.75,-0.01,-0.167
4/5/2001,0.04,0.04,0,0.5,0.45,-1,0.67,-0.01,-0.167
4/6/2001,-0.02,0.02,0.01,1,-0.31,0,0.72,-0.01,0
4/9/2001,0.01,0,0.01,0.8,-0.4,0,0.72,0,0
4/10/2001,0.02,0.03,0,1,0.98,0,0.73,0,-0.167
4/11/2001,0,0.02,0.01,1,-0.29,0,0.78,0,-0.167
4/12/2001,0.02,0.02,0.01,1,-0.27,0,0.88,0.01,0.167
4/16/2001,-0.01,0.01,0,1,-0.2,1,0.97,0.01,0.167
4/17/2001,0.01,0,0.01,0.9,0.49,0,0.95,0.01,0.167
4/18/2001,0.04,0.05,0.01,1,1.97,0,0.98,0.01,0
4/19/2001,0.01,0.05,0.02,1,-0.57,-1,0.98,0.01,0
4/20/2001,-0.01,0,0.01,1,-0.45,0,0.98,0.01,0
4/23/2001,-0.02,-0.03,-0.01,0.9,0.11,0,0.97,0.01,0
4/24/2001,-0.01,-0.02,-0.01,0.7,0.19,1,0.92,0.01,0
4/25/2001,0.01,0.01,-0.01,0.7,-0.18,0,0.88,0,0
4/26/2001,0,0.02,0,0.7,0.28,0,0.83,0,0.167
4/27/2001,0.02,0.02,0.01,0.8,-0.25,0,0.8,0,0.167
4/30/2001,0.01,0.02,0.01,0.9,0.36,0,0.78,0,0
5/1/2001,0,0.01,0.01,1,-0.02,-1,0.8,0,-0.167
5/2/2001,0,0,0,1,-0.1,0,0.85,0,0
5/3/2001,-0.01,-0.01,0,1,0.04,1,0.9,0.01,-0.167
5/4/2001,0.02,0,0,0.6,0.22,-1,0.88,0.01,-0.167
5/7/2001,-0.01,0.01,0,0.9,-0.41,0,0.9,0,-0.167
5/8/2001,0,-0.01,0,0.5,-0.03,0,0.83,0,0
5/9/2001,0,0,0,0.5,0.37,0,0.75,0,0
5/10/2001,0,0,0,0.3,-0.28,0,0.63,0,0
5/11/2001,-0.01,0,0,0.4,0.13,1,0.53,0,0.167
5/14/2001,0,0,0,0.1,0.02,0,0.45,0,0.167
5/15/2001,0,0.01,0,0.1,0.24,0,0.32,0,0
5/16/2001,0.02,0.03,0.01,0.3,0.52,-1,0.28,0,0
5/17/2001,0,0.03,0.01,1,-0.21,0,0.37,0,0
5/18/2001,0,0.01,0.01,1,-0.43,0,0.48,0.01,-0.167
5/21/2001,0.01,0.02,0,1,0.73,0,0.58,0.01,-0.167
5/22/2001,0,0.01,0,1,-0.28,0,0.73,0.01,-0.167
5/23/2001,-0.02,-0.02,0,1,0.48,0,0.88,0.01,0
5/24/2001,0,-0.01,-0.01,0.3,-0.36,0,0.88,0,0
5/25/2001,-0.01,-0.01,-0.01,0.4,-0.06,0,0.78,0,0
5/29/2001,-0.01,-0.02,-0.01,0,0.21,0,0.62,-0.01,0.167
5/30/2001,-0.01,-0.02,-0.01,0,0.12,1,0.45,-0.01,0.167
5/31/2001,0.01,-0.01,0,0,-0.02,0,0.28,-0.01,0.167
6/1/2001,0.01,0.01,0,0.1,-0.1,0,0.13,-0.01,0.167
6/4/2001,0,0.01,0.01,0.2,-0.36,0,0.12,0,0
6/5/2001,0.01,0.02,0.01,0.3,0.62,-1,0.1,0,0
6/6/2001,-0.01,0,0,0.5,0.32,0,0.18,0,-0.167
6/7/2001,0,0,0,0.3,-0.39,0,0.23,0,-0.167
6/8/2001,-0.01,-0.01,-0.01,0.4,0.11,0,0.3,0,-0.167
6/11/2001,-0.01,-0.02,-0.01,0.2,-0.14,0,0.32,0,-0.167
6/12/2001,0,-0.01,-0.01,0.1,0.34,0,0.3,0,0
6/13/2001,-0.01,-0.01,-0.01,0,-0.19,0,0.25,-0.01,0
6/14/2001,-0.02,-0.03,-0.01,0,0.65,0,0.17,-0.01,0
6/15/2001,0,-0.02,-0.01,0,0.33,0,0.12,-0.01,0.167
6/18/2001,0,0,-0.01,0,-0.32,1,0.05,-0.01,0.167
6/19/2001,0,0,0,0,-0.32,0,0.02,-0.01,0.167
6/20/2001,0.01,0.01,0,0.1,0.14,0,0.02,-0.01,0
6/21/2001,0.01,0.02,0.01,0.2,0.4,-1,0.05,0,0
6/22/2001,-0.01,0,0,0.5,0,0,0.13,0,0
6/25/2001,-0.01,-0.02,0,0.4,-0.31,0,0.2,0,0
6/26/2001,0,-0.01,-0.01,0.2,-0.05,1,0.23,0,0
6/27/2001,0,0,0,0.2,0.26,0,0.27,0,0
6/28/2001,0.01,0,0,0.3,0.02,0,0.3,0,0.167
6/29/2001,0,0.01,0,0.6,-0.04,0,0.37,0,0.167
7/2/2001,0.01,0.02,0.01,0.8,-0.13,0,0.42,0,0
7/3/2001,0,0.01,0,1,-0.61,-1,0.52,0,-0.167
7/5/2001,-0.02,-0.02,0,1,0.67,0,0.65,0,-0.167
7/6/2001,-0.02,-0.04,-0.01,0.4,1.11,0,0.68,0,-0.167
7/9/2001,0.01,-0.02,-0.01,0,-0.29,0,0.63,0,-0.167
7/10/2001,-0.01,-0.01,-0.01,0.2,0.03,0,0.57,0,0
7/11/2001,0,-0.01,0,0,0.78,1,0.43,-0.01,0.167
7/12/2001,0.02,0.02,0,0,-0.22,0,0.27,-0.01,0
7/13/2001,0.01,0.03,0.01,0.7,-0.13,-1,0.22,0,0.167
7/16/2001,-0.01,0,0.01,0.9,-0.34,1,0.3,0,0
7/17/2001,0.01,0,0,0.7,0.08,-1,0.42,0,0.167
7/18/2001,-0.01,0,0,0.9,0.03,1,0.53,0,-0.167
7/19/2001,0.01,0,0,0.7,0.31,-1,0.65,0,-0.167
7/20/2001,-0.01,0,0,0.9,-0.33,0,0.8,0,0
7/23/2001,-0.02,-0.03,-0.01,0.8,0.2,0,0.82,0,0
7/24/2001,-0.01,-0.03,-0.01,0.4,0.52,1,0.73,0,0.167
7/25/2001,0.01,0,-0.01,0.3,-0.01,0,0.67,-0.01,0
7/26/2001,0.01,0.02,0,0.6,0.07,0,0.62,-0.01,0.167
7/27/2001,0,0.01,0.01,0.8,-0.34,0,0.63,0,0.167
7/30/2001,0,0,0,0.9,0.01,0,0.63,0,0.167
7/31/2001,0,0,0,0.9,0.39,0,0.65,0,0
