Gains,Multi Day Gains,SMA Gains,Stoch RSI,Single Day Volume,Buy
0.006,0.013,-0.004,0.1,-0.25,0
0.005,0.011,0.006,0.2,0.885,0
0.007,0.012,0.006,0.3,-0.381,0
0.005,0.012,0.006,0.4,-0.2,0
0.012,0.017,0.008,0.6,0.128,-1
0.004,0.016,0.007,0.8,-0.12,0
-0.008,-0.005,0.003,0.9,0.472,1
-0.005,-0.013,-0.003,0.8,-0.221,0
0.005,0,-0.003,0.7,0.214,0
0.013,0.017,0.004,0.8,-0.417,0
-0.001,0.012,0.006,1,0.876,0
-0.004,-0.004,0.003,1,-0.067,0
0.011,0.007,0.002,0.9,0.089,0
-0.003,0.007,0.001,1,-0.181,0
0.005,0.002,0.004,0.9,-0.485,0
-0.002,0.004,0,1,0.292,0
0.004,0.002,0.002,0.9,0.783,0
0.003,0.007,0.002,1,-0.174,0
0,0.003,0.002,1,-0.377,0
0.003,0.003,0.002,1,0.955,-1
0,0.004,0.001,1,-0.355,0
-0.01,-0.009,-0.002,1,0.113,0
0.013,0.004,0.001,0.3,0.227,0
0.001,0.014,0.001,0.9,-0.344,0
-0.008,-0.007,0.002,0.9,0.088,1
-0.011,-0.019,-0.006,0.2,0.245,-1
0.009,-0.003,-0.003,0,-0.013,0
-0.007,0.002,-0.003,0.3,-0.175,0
-0.001,-0.008,0,0.1,0.119,1
-0.007,-0.009,-0.005,0,0.211,0
0.003,-0.005,-0.002,0,0.613,-1
0.005,0.008,0,0.1,-0.558,0
-0.022,-0.017,-0.005,0.3,0.203,0
-0.009,-0.031,-0.009,0,0.251,0
0.009,0,-0.007,0,0.289,0
-0.007,0.002,-0.002,0.2,-0.012,1
-0.015,-0.022,-0.004,0.1,-0.082,-1
0.018,0.003,-0.001,0,0.305,0
-0.007,0.011,-0.001,0.4,0.248,1
-0.013,-0.02,-0.001,0.3,-0.455,0
0.005,-0.008,-0.005,0.2,0.355,-1
0.013,0.018,0.002,0.3,-0.021,0
-0.009,0.003,0.003,0.7,0.326,0
0.002,-0.008,0.002,0.5,-0.409,0
-0.009,-0.008,-0.005,0.5,0.694,0
0.008,-0.001,0,0.4,-0.342,0
0.003,0.012,0.001,0.9,-0.257,0
-0.022,-0.018,-0.004,1,1.193,0
-0.008,-0.029,-0.009,0.4,-0.55,0
-0.017,-0.024,-0.016,0.2,0.354,0
-0.008,-0.025,-0.011,0,0.695,1
-0.025,-0.033,-0.017,0,0.192,0
0.033,0.008,0,0,-0.045,0
0.005,0.038,0.004,0.7,-0.52,0
-0.025,-0.02,0.004,0.8,0.384,-1
-0.004,-0.028,-0.008,0.5,0.391,0
0.038,0.034,0.003,0.5,-0.195,0
0.004,0.042,0.013,1,-0.159,0
0.004,0.009,0.015,1,-0.283,0
-0.007,-0.002,0,1,0.087,0
-0.024,-0.03,-0.009,0.9,0.589,1
0.003,-0.021,-0.009,0.7,0.023,0
0.019,0.022,-0.001,0.7,0.045,0
0.009,0.028,0.01,1,0.04,-1
0.017,0.026,0.015,1,-0.237,0
-0.003,0.014,0.008,1,-0.129,0
0.002,-0.002,0.005,1,0.687,0
0.001,0.002,0,1,-0.545,0
0.007,0.008,0.003,1,-0.221,0
0,0.007,0.003,1,0.294,0
-0.022,-0.022,-0.005,1,0.171,0
-0.004,-0.026,-0.009,0.5,0.737,0
-0.024,-0.028,-0.017,0.4,-0.194,1
-0.008,-0.032,-0.012,0,1.017,0
0.026,0.018,-0.002,0,-0.556,-1
0.003,0.03,0.007,0.5,0.152,0
-0.016,-0.013,0.004,0.5,-0.244,0
-0.005,-0.021,-0.006,0.3,-0.02,0
-0.014,-0.02,-0.012,0.2,-0.167,0
0.005,-0.009,-0.005,0,0.408,1
-0.024,-0.019,-0.011,0.1,-0.253,0
0.02,-0.004,0,0,-0.405,-1
0.009,0.029,0.002,0.3,0.756,0
-0.017,-0.009,0.004,0.5,-0.109,0
-0.002,-0.019,-0.003,0.4,0.296,0
-0.009,-0.011,-0.009,0.4,0.62,1
0,-0.009,-0.004,0.3,-0.323,0
0.009,0.008,0,0.2,-0.078,-1
0.033,0.042,0.014,0.5,0.27,0
-0.016,0.016,0.009,1,0.451,1
-0.014,-0.029,0.001,0.7,-0.493,0
0.002,-0.011,-0.009,0.5,0.574,-1
0.035,0.037,0.008,0.6,-0.377,0
-0.004,0.03,0.011,1,-0.216,0
-0.014,-0.018,0.006,0.9,0.209,0
-0.013,-0.026,-0.01,0.7,0.265,1
-0.023,-0.035,-0.017,0.5,0.181,-1
0.013,-0.01,-0.008,0.1,-0.202,0
-0.02,-0.007,-0.01,0.4,0.329,1
-0.029,-0.049,-0.012,0.1,0.039,0
0.007,-0.022,-0.014,0,0.434,-1
0.03,0.037,0.003,0.1,-0.289,0
0.011,0.041,0.016,0.5,-0.542,0
0.007,0.018,0.016,0.6,0.04,0
0.003,0.01,0.007,0.7,0.722,0
-0.019,-0.016,-0.003,0.8,0.05,1
-0.018,-0.037,-0.011,0.5,-0.004,-1
0.048,0.029,0.004,0.4,1.224,0
-0.011,0.037,0.006,1,-0.526,1
-0.033,-0.043,0.001,0.9,0.401,0
0.008,-0.025,-0.012,0.5,-0.487,0
-0.003,0.005,-0.009,0.6,-0.139,-1
0.018,0.015,0.008,0.6,0.534,0
0.001,0.019,0.005,0.8,-0.172,0
-0.002,-0.001,0.006,0.8,0,0
0.006,0.004,0.002,0.7,0.179,0
0.005,0.011,0.003,0.8,-0.081,0
0.01,0.015,0.007,0.9,0.033,0
-0.006,0.004,0.003,1,-0.04,0
0.007,0.001,0.004,0.9,-0.094,0
0.008,0.015,0.003,1,0.2,0
0.003,0.011,0.006,1,-0.267,0
-0.003,0,0.003,1,0.745,0
-0.001,-0.004,0,0.9,-0.34,0
0.005,0.004,0,0.9,-0.06,0
0.009,0.014,0.004,1,0.054,0
-0.006,0.003,0.003,1,0.373,0
0.007,0.001,0.003,0.8,-0.151,1
-0.023,-0.016,-0.007,1,0.005,-1
0.007,-0.016,-0.003,0,-0.474,0
-0.003,0.004,-0.006,0.3,0.633,0
-0.005,-0.008,0,0.1,-0.191,0
-0.012,-0.017,-0.007,0,0.034,1
-0.01,-0.021,-0.009,0,0.668,-1
0.011,0.002,-0.004,0,-0.414,0
-0.008,0.003,-0.002,0.3,0.135,1
-0.002,-0.01,0,0.1,0.275,-1
0.01,0.008,0,0.1,-0.294,0
-0.022,-0.013,-0.005,0.3,0.085,0
-0.015,-0.037,-0.009,0,-0.105,0
-0.022,-0.037,-0.02,0,0.894,0
0.002,-0.02,-0.012,0,0.951,1
-0.007,-0.005,-0.009,0,-0.052,-1
0.021,0.014,0.005,0,-0.43,0
-0.009,0.012,0.002,0.4,-0.008,1
-0.02,-0.029,-0.003,0.4,0.299,0
0.005,-0.015,-0.008,0.1,-0.01,0
-0.008,-0.003,-0.008,0.3,-0.144,0
0.009,0.001,0.002,0.2,-0.579,0
0.011,0.02,0.004,0.4,0.307,0
0.007,0.018,0.009,0.6,-0.079,-1
0.001,0.008,0.006,0.8,-0.05,0
-0.03,-0.029,-0.007,1,0.655,1
-0.043,-0.071,-0.024,0.4,0.394,-1
0.016,-0.027,-0.019,0,-0.078,0
-0.02,-0.004,-0.016,0.4,0.543,0
0,-0.019,-0.001,0.2,-0.478,1
-0.02,-0.02,-0.013,0.2,4.643,-1
0.02,0,0,0,-0.828,0
-0.027,-0.007,-0.009,0.4,0.498,0
-0.017,-0.043,-0.008,0.2,0.26,1
-0.01,-0.027,-0.018,0,0.506,0
0.03,0.02,0.001,0,-0.551,0
0.013,0.043,0.011,0.5,-0.227,-1
0.02,0.033,0.021,0.7,0.295,1
-0.028,-0.008,0.002,1,-0.15,0
0.004,-0.024,-0.001,0.7,0.101,-1
0.01,0.014,-0.005,0.8,-0.239,0
-0.021,-0.011,-0.002,0.9,0.15,1
-0.033,-0.054,-0.015,0.7,0.215,0
0.004,-0.029,-0.017,0.4,0.16,-1
0.038,0.042,0.003,0.5,0.446,0
-0.015,0.022,0.009,1,-0.306,0
0.011,-0.004,0.011,0.8,-0.395,0
0.018,0.03,0.005,1,0.978,0
0.001,0.019,0.01,1,-0.288,0
0.018,0.019,0.012,1,-0.274,1
-0.011,0.007,0.003,1,-0.204,0
0.014,0.003,0.007,0.9,0.486,0
0.04,0.054,0.014,1,1.973,-1
0.013,0.054,0.022,1,-0.575,0
-0.009,0.004,0.015,1,-0.448,0
-0.018,-0.027,-0.005,0.9,0.108,1
-0.005,-0.023,-0.011,0.7,0.188,0
0.013,0.008,-0.003,0.7,-0.179,0
0.004,0.018,0.004,0.7,0.284,0
0.017,0.021,0.011,0.8,-0.25,0
0.007,0.024,0.009,0.9,0.356,-1
0.003,0.01,0.009,1,-0.018,0
-0.002,0.001,0.003,1,-0.095,1
-0.013,-0.014,-0.004,1,0.037,-1
0.017,0.004,0.001,0.6,0.224,0
-0.009,0.008,-0.002,0.9,-0.408,0
0,-0.009,0.003,0.5,-0.032,0
-0.004,-0.005,-0.004,0.5,0.367,0
0.003,-0.001,0,0.3,-0.277,1
-0.007,-0.004,-0.003,0.4,0.125,0
0.002,-0.005,-0.001,0.1,0.023,0
0.005,0.007,0,0.1,0.236,-1
0.024,0.028,0.01,0.3,0.524,0
0.002,0.025,0.01,1,-0.207,0
0.005,0.006,0.01,1,-0.435,0
0.015,0.019,0.007,1,0.725,0
-0.001,0.013,0.006,1,-0.277,0
-0.017,-0.018,-0.001,1,0.478,0
0.003,-0.014,-0.005,0.3,-0.359,0
-0.012,-0.009,-0.009,0.4,-0.06,0
-0.008,-0.02,-0.006,0,0.213,1
-0.014,-0.022,-0.011,0,0.115,0
0.005,-0.009,-0.006,0,-0.017,0
0.006,0.011,-0.001,0.1,-0.104,0
0.005,0.011,0.005,0.2,-0.364,-1
0.011,0.016,0.007,0.3,0.621,0
-0.008,0.003,0.003,0.5,0.324,0
0.004,-0.005,0.002,0.3,-0.39,0
-0.009,-0.006,-0.004,0.4,0.111,0
-0.007,-0.016,-0.004,0.2,-0.142,0
-0.002,-0.009,-0.006,0.1,0.335,0
-0.009,-0.01,-0.006,0,-0.185,0
-0.022,-0.031,-0.011,0,0.652,0
0.002,-0.021,-0.01,0,0.335,1
-0.005,-0.003,-0.008,0,-0.324,0
0.004,0,0,0,-0.32,0
0.005,0.01,0.001,0.1,0.136,-1
0.011,0.017,0.007,0.2,0.395,0
-0.008,0.003,0.003,0.5,-0.004,0
-0.009,-0.017,-0.002,0.4,-0.312,1
-0.001,-0.011,-0.006,0.2,-0.048,0
-0.001,-0.002,-0.004,0.2,0.262,0
0.006,0.005,0.001,0.3,0.016,0
0.004,0.009,0.003,0.6,-0.043,0
0.012,0.016,0.007,0.8,-0.133,-1
0,0.012,0.005,1,-0.612,0
-0.02,-0.02,-0.003,1,0.671,0
-0.022,-0.041,-0.014,0.4,1.114,0
0.005,-0.016,-0.012,0,-0.285,0
-0.012,-0.007,-0.01,0.2,0.035,1
0.001,-0.011,-0.002,0,0.776,0
0.024,0.025,0.004,0,-0.217,-1
0.009,0.033,0.011,0.7,-0.131,1
-0.013,-0.004,0.007,0.9,-0.337,-1
0.009,-0.003,0.002,0.7,0.08,1
-0.007,0.002,-0.004,0.9,0.032,-1
0.009,0.002,0.004,0.7,0.308,0
-0.006,0.003,-0.001,0.9,-0.335,0
-0.02,-0.026,-0.006,0.8,0.203,1
-0.01,-0.029,-0.012,0.4,0.521,0
0.011,0.001,-0.006,0.3,-0.015,0
0.01,0.022,0.004,0.6,0.067,0
0.004,0.014,0.008,0.8,-0.343,0
0,0.004,0.005,0.9,0.008,0
0.004,0.004,0.003,0.9,0.394,0
0.006,0.01,0.003,1,0.002,-1
0.004,0.01,0.005,1,-0.073,0
-0.005,-0.001,0.002,1,-0.023,0
-0.013,-0.019,-0.005,0.8,-0.21,0
0.004,-0.01,-0.005,0.5,0.037,0
-0.019,-0.015,-0.009,0.6,0.713,0
0.003,-0.016,-0.004,0.2,-0.07,0
0.003,0.006,-0.004,0.3,-0.209,0
0,0.004,0.002,0.4,-0.335,0
0,0,0.001,0.2,0.773,0
-0.009,-0.009,-0.003,0.2,-0.353,0
0.003,-0.005,-0.002,0,0.26,1
-0.016,-0.013,-0.007,0.2,0.081,0
0.009,-0.007,-0.001,0,-0.102,0
-0.017,-0.008,-0.008,0.3,0.39,0
0.01,-0.007,0.001,0,-0.188,0
-0.004,0.007,-0.004,0.3,-0.256,-1
0.021,0.017,0.009,0.3,0.337,0
-0.006,0.015,0.004,1,-0.365,0
-0.015,-0.021,0,0.8,0.622,0
-0.009,-0.023,-0.01,0.5,0.343,0
-0.019,-0.028,-0.014,0.3,0.093,0
0.007,-0.012,-0.007,0,-0.096,0
-0.006,0.001,-0.006,0.2,0.531,0
0.002,-0.004,0.001,0.1,-0.122,0
-0.026,-0.023,-0.01,0.2,0.008,1
-0.019,-0.044,-0.014,0,0.53,-1
0.012,-0.007,-0.011,0,-0.294,0
-0.052,-0.041,-0.02,0.2,0.384,0
-0.002,-0.055,-0.014,0,-0.32,0
-0.02,-0.023,-0.025,0,0.942,0
-0.032,-0.051,-0.018,0,-0.153,1
-0.011,-0.042,-0.021,0,0.375,0
0.035,0.024,-0.003,0,-0.487,0
0.01,0.046,0.011,0.5,-0.003,-1
-0.004,0.007,0.014,0.7,-0.27,0
0.009,0.005,0.005,0.7,0.105,0
0.021,0.03,0.009,0.9,0.056,0
-0.002,0.02,0.009,1,-0.057,0
0.013,0.011,0.011,1,-0.031,0
0.017,0.03,0.009,1,0.616,0
0.001,0.018,0.01,1,0.02,0
-0.002,-0.001,0.005,1,-0.088,0
-0.007,-0.008,-0.003,1,-0.565,1
-0.005,-0.012,-0.005,0.9,0.232,0
0.022,0.017,0.003,0.9,0.251,-1
0.016,0.038,0.011,1,0.151,0
-0.005,0.011,0.011,1,0.363,0
-0.002,-0.006,0.003,0.9,-0.462,0
0.006,0.004,0,0.9,-0.059,0
-0.021,-0.015,-0.006,1,0.798,0
-0.002,-0.023,-0.006,0.5,-0.422,1
-0.001,-0.003,-0.008,0.5,0.327,-1
0.02,0.019,0.006,0.3,-0.2,0
-0.005,0.015,0.005,0.8,0.258,1
-0.003,-0.008,0.004,0.7,-0.272,-1
0.018,0.015,0.003,0.6,0.71,0
-0.002,0.016,0.004,1,-0.322,0
-0.026,-0.028,-0.003,0.9,0.006,0
-0.012,-0.038,-0.013,0,0.398,1
-0.003,-0.015,-0.014,0,0.074,0
0.026,0.022,0.004,0,0.06,0
0.007,0.033,0.01,0.6,-0.41,0
0.013,0.02,0.015,0.7,-0.094,-1
0.016,0.029,0.012,1,0.459,0
-0.001,0.014,0.009,1,-0.152,0
0.003,0.002,0.006,1,0.144,0
0.001,0.004,0.001,1,-0.296,1
-0.006,-0.005,-0.001,1,0.64,-1
0.022,0.016,0.006,0.9,-0.413,0
0.001,0.023,0.006,1,0.149,0
0.002,0.003,0.008,1,0.108,1
-0.004,-0.003,0,1,-0.069,-1
0.012,0.008,0.003,0.9,-0.249,0
-0.008,0.004,0,1,0.19,1
-0.007,-0.015,-0.001,0.7,-0.292,0
0.014,0.008,0,0.4,-0.414,-1
0.002,0.017,0.003,0.7,1.043,0
-0.004,-0.002,0.004,0.7,0.403,1
-0.018,-0.022,-0.007,0.4,0.048,-1
0.013,-0.005,-0.003,0,-0.19,0
-0.007,0.006,-0.004,0.3,-0.164,1
-0.006,-0.013,0,0.1,0.113,0
0.017,0.011,0.001,0,0.133,-1
0.018,0.036,0.01,0.4,0.462,0
-0.001,0.018,0.011,0.8,-0.287,0
-0.007,-0.007,0.003,0.7,0.049,0
-0.019,-0.025,-0.009,0.5,-0.265,0
-0.002,-0.021,-0.009,0,0.503,0
0.001,-0.001,-0.007,0,-0.224,1
-0.019,-0.018,-0.007,0,0.177,0
0.01,-0.01,-0.003,0,-0.121,0
0.01,0.02,0,0.2,-0.167,0
0.006,0.016,0.009,0.4,-0.019,-1
0.007,0.013,0.008,0.5,0.474,0
-0.01,-0.003,0.001,0.6,-0.262,0
0.006,-0.004,0.001,0.4,-0.056,1
-0.002,0.004,-0.002,0.5,-0.592,0
0.005,0.004,0.003,0.4,0.799,0
0.006,0.012,0.003,0.6,-0.087,-1
-0.001,0.006,0.003,0.8,0.126,1
-0.015,-0.015,-0.003,1,0.38,0
0.011,-0.004,-0.002,0.4,0.276,0
0.011,0.022,0.002,0.8,-0.156,-1
0.007,0.018,0.01,1,0.279,0
-0.007,0,0.004,1,-0.349,0
-0.002,-0.009,-0.001,0.7,-0.032,0
-0.008,-0.01,-0.006,0.6,0.31,0
0.004,-0.004,-0.002,0.2,-0.228,0
-0.01,-0.005,-0.005,0.4,0.069,1
-0.006,-0.016,-0.004,0,-0.103,-1
0.008,0.002,-0.003,0,0.644,0
-0.02,-0.012,-0.006,0.3,-0.156,0
0.008,-0.013,-0.001,0,0.013,0
-0.005,0.003,-0.006,0.2,-0.015,0
-0.007,-0.011,-0.001,0.1,-0.314,0
0.008,0.001,-0.001,0,0.064,0
0.003,0.011,0.001,0.2,-0.024,0
0,0.003,0.004,0.3,0.055,0
0.003,0.002,0.002,0.3,-0.173,1
-0.031,-0.029,-0.009,0.5,1.618,0
0.014,-0.017,-0.005,0,0.252,-1
0.012,0.026,-0.002,0.4,-0.426,0
-0.005,0.007,0.007,0.8,-0.204,0
-0.025,-0.029,-0.006,0.7,0.531,0
-0.006,-0.031,-0.012,0.2,0.387,0
-0.004,-0.01,-0.012,0.1,-0.123,1
-0.006,-0.011,-0.005,0,-0.205,0
0.019,0.013,0.003,0,-0.178,-1
0.012,0.032,0.008,0.6,-0.025,0
-0.003,0.009,0.009,1,-0.258,0
0.011,0.007,0.007,0.9,0.204,0
-0.002,0.009,0.002,1,0.219,0
-0.01,-0.012,0,1,-0.102,1
-0.019,-0.029,-0.01,0.7,-0.13,-1
0.017,-0.003,-0.004,0.4,0.829,1
-0.021,-0.004,-0.008,0.8,-0.101,0
0.012,-0.009,0.003,0.4,0.011,-1
0.017,0.029,0.003,0.7,-0.343,0
-0.002,0.014,0.009,1,0.28,0
0.004,0.002,0.006,1,0.28,1
-0.004,-0.001,-0.001,1,-0.169,0
0.023,0.019,0.008,0.9,0.106,-1
0.018,0.041,0.012,1,0.035,1
-0.003,0.014,0.013,1,-0.164,-1
0.012,0.009,0.009,0.9,-0.113,0
-0.002,0.01,0.002,1,-0.04,0
0.004,0.002,0.005,1,0.031,0
0.002,0.006,0.001,1,-0.216,0
-0.001,0.002,0.002,1,0.098,0
-0.01,-0.01,-0.003,1,0.001,1
-0.001,-0.011,-0.004,0.7,-0.35,0
0.01,0.008,0,0.6,0.9,0
0,0.01,0.003,0.8,-0.173,-1
0.007,0.007,0.006,0.8,0.021,0
-0.019,-0.012,-0.004,0.9,-0.045,0
0,-0.018,-0.004,0,0.51,0
-0.002,-0.002,-0.007,0,-0.411,1
-0.012,-0.015,-0.005,0,0.149,0
0.006,-0.007,-0.003,0,0.14,0
0.003,0.008,-0.001,0.2,-0.046,0
0,0.002,0.003,0.2,-0.078,-1
0,0,0.001,0.2,0.01,0
-0.005,-0.005,-0.002,0.2,-0.115,0
-0.007,-0.012,-0.004,0.1,0.637,0
-0.004,-0.011,-0.005,0,-0.082,0
0,-0.004,-0.004,0,-0.176,0
0.002,0.002,-0.001,0,-0.151,0
-0.007,-0.005,-0.002,0.1,-0.082,0
0.011,0.004,0.002,0,0.137,1
-0.025,-0.014,-0.007,0.6,0.48,0
0.008,-0.018,-0.002,0,-0.413,0
-0.008,0,-0.008,0.3,0.163,-1
0.024,0.016,0.008,0.1,-0.135,0
-0.002,0.022,0.005,1,-0.141,0
-0.004,-0.006,0.006,0.9,0.951,0
0.004,-0.001,-0.001,0.8,-0.583,0
-0.017,-0.013,-0.006,0.9,0.326,0
-0.004,-0.021,-0.006,0.4,0.219,0
-0.01,-0.014,-0.01,0.3,0.114,0
0.001,-0.01,-0.004,0.1,0.346,0
-0.019,-0.018,-0.009,0.1,-0.223,1
-0.005,-0.024,-0.008,0,-0.103,0
0.009,0.004,-0.005,0,0.099,-1
0.012,0.022,0.005,0.3,0.262,0
-0.004,0.008,0.006,0.6,-0.363,0
-0.011,-0.015,-0.001,0.5,0.161,0
-0.02,-0.03,-0.012,0.4,0.299,1
-0.004,-0.023,-0.012,0.1,-0.073,-1
0.037,0.034,0.004,0,0.274,0
-0.012,0.025,0.007,0.9,-0.352,1
-0.019,-0.03,0.002,0.8,0.048,0
0.02,0.001,-0.004,0.5,-0.226,-1
0.022,0.043,0.008,0.9,1.33,1
-0.004,0.018,0.013,1,-0.136,0
0.005,0.001,0.008,1,-0.049,-1
0.005,0.01,0.002,1,-0.01,0
-0.011,-0.006,0,1,-0.503,0
-0.009,-0.02,-0.005,0.8,0.22,1
0.002,-0.007,-0.006,0.7,-0.061,-1
0.011,0.013,0.001,0.8,-0.124,0
-0.013,-0.002,0,0.9,-0.144,0
-0.005,-0.018,-0.002,0.7,1.041,0
-0.007,-0.013,-0.008,0.5,-0.39,0
-0.003,-0.01,-0.005,0.3,0.233,0
0.002,-0.001,-0.003,0.3,0.088,1
-0.027,-0.025,-0.009,0.1,0.314,0
0.002,-0.024,-0.008,0,-0.008,-1
0.009,0.012,-0.005,0.1,-0.238,0
-0.02,-0.011,-0.003,0.3,0.168,0
-0.001,-0.021,-0.004,0,0.044,0
0.004,0.003,-0.006,0,-0.219,0
-0.017,-0.013,-0.005,0.1,0.066,0
0.006,-0.011,-0.002,0,0.564,0
-0.01,-0.004,-0.007,0.2,-0.327,1
-0.001,-0.012,-0.002,0,0.866,0
0.027,0.025,0.005,0,-0.551,-1
0.008,0.035,0.011,1,0.226,0
-0.023,-0.015,0.004,1,-0.004,0
-0.013,-0.036,-0.009,0.5,0.193,0
-0.016,-0.028,-0.017,0.3,0.214,0
0.005,-0.01,-0.008,0.1,0.192,0
-0.022,-0.017,-0.011,0.2,-0.103,1
0.002,-0.021,-0.005,0,0.137,-1
0.017,0.019,-0.001,0,-0.166,0
-0.005,0.013,0.005,0.5,-0.109,0
-0.02,-0.024,-0.003,0.4,-0.281,1
-0.021,-0.04,-0.015,0.1,0.688,0
0.006,-0.016,-0.012,0,-0.107,-1
0.04,0.046,0.008,0.1,-0.378,0
