Date,Gains,Multi Day Gains,SMA Gains,Stoch RSI,Single Day Volume,-1,Stoch Avg,SMA Gains Avg,Buys Avg,Expon Moving Avg,Triple Expon Smoothed,Bond Gains,Bond Vol,Bond Expon Avg,Bond Triple,Trs Gains,Trs Vol,Trs Expon Avg,Trs Triple
2007-05-14,-0.002,0.006,-0.001,,-0.047,1,,,,0.001,-0.111,-0.001,0.864,-0.000,0.327,-0.001,-0.361,0.001,-0.330
2007-05-15,0.000,-0.002,0.002,,0.672,-1,,,,0.000,0.208,-0.000,-0.556,-0.000,0.109,-0.003,1.019,-0.000,-0.997
2007-05-16,0.007,0.007,0.002,,-0.368,1,,,,0.002,0.109,0.000,0.791,-0.000,-0.177,0.004,-0.582,0.001,130.000
2007-05-17,-0.002,0.005,0.002,,-0.114,-1,,,,0.001,-0.087,-0.001,-0.246,-0.000,0.162,0.002,-0.377,0.001,0.618
2007-05-18,0.009,0.007,0.005,0.3,-0.019,-1,NaN,0.002,0.000,0.003,0.093,-0.002,0.457,-0.001,0.203,-0.002,0.284,0.000,-0.491
2007-05-21,-0.001,0.008,0.002,0.6,0.761,1,NaN,0.002,0.000,0.002,-0.151,0.001,-0.206,-0.000,-0.134,0.003,0.577,0.001,1.519
2007-05-22,-0.001,-0.001,0.002,0.5,-0.530,-1,NaN,0.003,0.000,0.001,-0.083,-0.002,0.008,-0.001,0.156,0.000,-0.524,0.001,0.287
2007-05-23,0.000,-0.001,-0.001,0.5,0.629,1,NaN,0.002,0.167,0.001,0.148,-0.001,-0.052,-0.001,0.128,-0.001,0.269,0.000,-0.283
2007-05-24,-0.009,-0.009,-0.003,0.5,0.402,1,NaN,0.001,0.000,-0.001,-0.181,-0.000,-0.182,-0.001,0.093,0.002,-0.384,0.001,0.243
2007-05-25,0.004,-0.005,-0.002,0,-0.556,1,0.400,0.001,-0.167,-0.000,0.098,0.000,-0.453,-0.000,-0.046,-0.001,0.754,0.000,-0.343
2007-05-29,0.004,0.008,-0.000,0.2,-0.015,-1,0.383,-0.000,0.000,0.001,0.088,-0.001,0.322,-0.001,0.064,0.000,-0.103,0.000,0.468
2007-05-30,0.008,0.012,0.005,0.3,0.573,1,0.333,0.000,0.000,0.002,0.127,0.001,0.262,-0.000,-0.076,0.002,1.354,0.001,0.751
2007-05-31,-0.001,0.007,0.004,0.8,-0.110,1,0.383,0.001,0.000,0.002,-0.100,-0.001,0.483,-0.000,0.122,-0.002,-0.894,0.000,-0.046
2007-06-01,0.005,0.004,0.004,0.7,-0.062,-1,0.417,0.001,-0.167,0.002,0.105,-0.002,0.626,-0.001,0.177,0.000,4.208,0.000,0.249
2007-06-04,0.000,0.005,0.001,0.9,-0.276,-1,0.483,0.002,-0.167,0.002,0.069,0.001,-0.664,-0.000,-0.051,-0.004,-0.360,-0.001,-0.127
2007-06-05,-0.004,-0.004,0.000,0.9,0.627,-1,0.633,0.002,0.000,0.001,-0.104,-0.002,0.312,-0.001,0.070,-0.003,10.963,-0.001,-1.746
2007-06-06,-0.011,-0.015,-0.005,0.5,0.293,1,0.683,0.002,0.167,-0.002,-0.151,0.001,3.971,-0.000,-0.325,0.002,-0.431,-0.001,-1.333
2007-06-07,-0.018,-0.029,-0.011,0,0.416,1,0.633,-0.001,0.167,-0.006,-0.252,-0.007,-0.594,-0.002,0.195,0.006,-0.701,0.001,1.199
2007-06-08,0.013,-0.005,-0.005,0,-0.243,-1,0.500,-0.003,0.000,-0.001,0.254,-0.000,-0.170,-0.001,0.136,0.003,-0.485,0.001,0.281
2007-06-11,0.002,0.015,-0.001,0.3,-0.420,1,0.433,-0.004,0.167,-0.001,0.118,-0.001,0.230,-0.001,0.147,0.002,0.155,0.001,0.253
2007-06-12,-0.011,-0.009,0.001,0.3,1.293,1,0.333,-0.004,0.167,-0.003,-0.241,-0.005,4.258,-0.002,0.674,0.002,15.155,0.002,3.265
2007-06-13,0.015,0.004,0.002,0.1,-0.174,1,0.200,-0.003,0.167,0.001,0.263,0.002,-0.769,-0.001,-0.093,0.002,-0.935,0.002,0.050
2007-06-14,0.006,0.021,0.003,0.4,-0.242,-1,0.183,-0.002,-0.167,0.002,0.158,-0.001,0.171,-0.001,0.120,0.001,0.186,0.002,0.056
2007-06-15,0.006,0.012,0.009,0.5,0.052,1,0.267,0.001,-0.167,0.003,0.143,0.005,-0.011,0.000,-0.106,-0.006,3.339,-0.000,-0.231
2007-06-18,-0.001,0.005,0.004,0.5,-0.425,-1,0.350,0.003,0.000,0.002,-0.072,-0.001,-0.445,-0.000,0.066,-0.001,0.046,-0.000,-0.315
2007-06-19,0.002,0.001,0.002,0.5,0.252,1,0.383,0.003,-0.167,0.002,0.097,0.005,0.217,0.001,-0.075,0.000,-0.954,-0.000,0.021
2007-06-20,-0.014,-0.011,-0.004,0.6,0.598,-1,0.433,0.003,-0.167,-0.001,-0.142,-0.005,-0.042,-0.000,0.078,-0.038,0.720,-0.009,-0.035
2007-06-21,0.006,-0.008,-0.002,0.3,0.159,-1,0.467,0.002,-0.167,0.000,0.191,0.001,-0.452,-0.000,-0.040,0.041,-0.233,0.002,0.028
2007-06-22,-0.009,-0.004,-0.006,0.4,-0.001,-1,0.467,0.000,0.000,-0.002,-0.160,0.001,0.449,0.000,-0.060,-0.006,13.182,0.001,-0.386
2007-06-25,-0.005,-0.014,-0.003,0.2,0.132,1,0.417,-0.002,0.167,-0.003,-0.216,0.003,0.532,0.001,-0.097,0.003,-0.799,0.001,0.127
2007-06-26,-0.010,-0.015,-0.008,0.2,-0.145,1,0.367,-0.004,0.000,-0.004,-0.236,-0.000,0.908,0.001,0.206,-0.002,0.894,0.000,-0.213
2007-06-27,0.014,0.004,-0.000,0,0.077,1,0.283,-0.004,0.000,-0.000,0.332,0.001,0.300,0.001,-0.222,0.002,-0.865,0.001,0.036
2007-06-28,-0.000,0.014,0.001,0.5,-0.262,1,0.267,-0.003,0.167,-0.000,-0.184,-0.001,-0.650,0.000,0.100,0.000,1.458,0.001,0.000
2007-06-29,0.000,0.000,0.005,0.4,0.266,1,0.283,-0.002,0.167,-0.000,0.285,0.003,4.238,0.001,-0.476,-0.006,-0.390,-0.001,-0.053
2007-07-02,0.009,0.009,0.003,0.5,-0.482,-1,0.300,-0.000,0.000,0.002,0.115,0.002,-0.808,0.001,0.175,-0.005,3.389,-0.002,-0.244
2007-07-03,0.004,0.013,0.004,0.7,-0.477,1,0.383,0.001,-0.167,0.002,0.054,-0.002,-0.708,0.000,0.044,-0.002,-0.589,-0.002,-0.133
2007-07-05,-0.001,0.003,0.004,0.8,0.652,1,0.483,0.003,0.000,0.002,-0.084,-0.004,0.968,-0.001,0.082,0.005,0.862,-0.000,0.285
2007-07-06,0.005,0.004,0.003,0.8,-0.092,-1,0.617,0.003,0.000,0.002,0.084,-0.002,0.285,-0.001,0.098,-0.002,-0.959,-0.001,-0.009
2007-07-09,0.001,0.006,0.002,1,-0.108,1,0.700,0.004,0.000,0.002,0.069,0.001,-0.370,-0.000,-0.056,0.000,16.600,-0.001,0.163
2007-07-10,-0.014,-0.013,-0.003,1,1.493,1,0.800,0.002,0.000,-0.001,-0.161,0.005,2.163,0.001,-0.188,-0.007,-0.443,-0.002,-0.078
2007-07-11,0.007,-0.007,-0.002,0.5,-0.026,1,0.800,0.001,0.167,0.000,0.187,-0.002,-0.662,0.000,0.078,-0.001,0.000,-0.002,-0.085
2007-07-12,0.016,0.023,0.003,0.7,-0.238,1,0.800,0.001,0.000,0.004,0.120,-0.001,-0.247,-0.000,0.055,-0.002,13.898,-0.002,-1.377
2007-07-13,0.003,0.019,0.009,1,-0.165,-1,0.833,0.002,0.000,0.004,0.089,0.002,2.075,0.000,-0.159,0.001,-0.992,-0.001,-0.030
2007-07-16,-0.000,0.003,0.006,1,-0.120,-1,0.867,0.003,0.000,0.003,-0.072,0.003,-0.228,0.001,-0.146,-0.000,5.333,-0.001,0.196
2007-07-17,-0.001,-0.001,0.001,1,0.283,1,0.867,0.002,-0.167,0.002,-0.100,-0.001,-0.438,0.001,0.096,0.000,-0.816,-0.001,0.000
2007-07-18,-0.002,-0.002,-0.001,1,0.885,-1,0.867,0.003,-0.167,0.001,-0.209,0.002,0.373,0.001,-0.120,-0.001,0.571,-0.001,0.047
2007-07-19,0.004,0.002,0.000,0.9,-0.390,1,0.933,0.003,-0.167,0.002,0.161,-0.000,-0.544,0.001,0.062,-0.000,9.182,-0.001,0.461
2007-07-20,-0.010,-0.006,-0.003,1,0.691,-1,0.983,0.002,0.000,-0.001,-0.235,0.003,0.970,0.001,-0.116,-0.002,-0.946,-0.001,0.017
2007-07-23,0.003,-0.007,-0.001,0.4,-0.506,1,0.883,0.000,0.000,-0.000,0.152,-0.000,-0.207,0.001,0.104,0.002,27.000,-0.000,-0.465
2007-07-24,-0.017,-0.014,-0.008,0.6,1.119,-1,0.817,-0.002,0.000,-0.004,-0.279,0.000,-0.144,0.001,-0.080,-0.008,0.077,-0.002,0.938
2007-07-25,0.002,-0.015,-0.004,0,0.033,-1,0.650,-0.003,0.000,-0.002,0.399,0.001,-0.207,0.001,-0.069,0.009,-0.663,0.000,-0.163
2007-07-26,-0.024,-0.022,-0.013,0.1,0.763,1,0.500,-0.005,0.167,-0.007,-0.503,0.004,1.068,0.001,-0.154,-0.004,-0.508,-0.001,0.096
2007-07-27,-0.020,-0.043,-0.014,0,-0.095,-1,0.350,-0.007,0.000,-0.010,-0.917,-0.001,-0.113,0.001,0.162,0.008,7.833,0.001,-0.773
2007-07-30,0.016,-0.004,-0.009,0,-0.331,1,0.183,-0.008,0.167,-0.004,7.348,-0.001,-0.265,0.001,0.102,0.002,-0.804,0.002,-0.667
2007-07-31,-0.011,0.004,-0.005,0.3,0.120,1,0.167,-0.009,0.167,-0.006,-0.986,0.002,-0.277,0.001,-0.067,-0.002,0.269,0.001,2.538
2007-08-01,0.005,-0.006,0.003,0.2,0.475,-1,0.100,-0.007,0.000,-0.003,102.640,-0.000,0.342,0.001,0.097,0.000,0.697,0.001,-1.217
2007-08-02,0.008,0.013,0.001,0.2,-0.370,1,0.133,-0.006,0.167,-0.001,0.624,0.002,0.245,0.001,-0.110,0.002,-0.920,0.001,0.450
2007-08-03,-0.026,-0.018,-0.004,0.4,0.219,1,0.183,-0.005,0.000,-0.006,-0.469,0.003,1.926,0.001,-0.360,-0.009,21.333,-0.001,-6.931
2007-08-06,0.017,-0.009,-0.000,0.1,-0.096,1,0.200,-0.002,0.167,-0.001,0.797,-0.003,-0.713,0.000,0.162,0.002,-0.836,-0.001,-0.192
2007-08-07,0.011,0.028,0.001,0.4,-0.284,-1,0.267,-0.001,-0.167,0.001,0.317,0.001,0.223,0.001,-0.170,0.003,3.152,0.000,-0.986
2007-08-08,0.014,0.025,0.014,0.5,0.182,-1,0.300,0.003,-0.167,0.004,0.285,-0.003,-0.019,-0.000,0.201,-0.003,-0.686,-0.000,21.500
2007-08-09,-0.030,-0.016,-0.002,0.8,0.301,1,0.400,0.002,0.000,-0.003,-0.288,0.002,0.098,0.000,-0.184,0.008,0.442,0.001,-1.378
2007-08-10,-0.005,-0.034,-0.007,0.5,0.149,-1,0.450,0.000,-0.167,-0.004,-0.466,-0.002,-0.245,-0.000,0.170,0.001,5.532,0.001,23.824
2007-08-13,0.004,-0.001,-0.010,0.5,-0.557,-1,0.467,-0.001,-0.167,-0.002,0.386,0.001,9.445,0.000,-1.519,0.003,-0.373,0.002,0.602
2007-08-14,-0.015,-0.012,-0.005,0.6,0.452,1,0.550,-0.002,0.000,-0.005,-0.404,0.002,-0.890,0.000,0.321,0.006,0.559,0.003,0.586
2007-08-15,-0.014,-0.029,-0.008,0.4,0.226,1,0.550,-0.003,0.167,-0.007,-0.832,0.000,-0.136,0.000,0.210,0.004,-0.323,0.003,0.250
2007-08-16,0.008,-0.006,-0.007,0.2,0.688,1,0.500,-0.006,0.000,-0.004,8.363,-0.000,0.283,0.000,-0.223,-0.003,0.149,0.002,-0.230
2007-08-17,0.018,0.026,0.004,0.2,-0.290,1,0.400,-0.006,0.167,0.001,0.634,0.003,-0.135,0.001,0.248,-0.003,-0.471,0.001,-0.158
2007-08-20,-0.000,0.018,0.009,0.6,-0.517,1,0.417,-0.003,0.167,0.001,-0.187,-0.002,0.783,0.000,-0.354,0.002,-0.184,0.001,0.153
2007-08-21,0.002,0.002,0.007,0.6,-0.162,-1,0.433,0.000,0.167,0.001,0.193,0.003,-0.626,0.001,0.205,0.000,-0.489,0.001,0.068
2007-08-22,0.012,0.014,0.005,0.7,0.102,1,0.450,0.002,0.000,0.004,0.178,0.000,0.562,0.001,0.000,-0.003,2.118,-0.000,-0.198
2007-08-23,-0.001,0.011,0.004,0.9,0.178,-1,0.533,0.004,-0.167,0.003,-0.178,0.000,0.198,0.001,0.000,-0.002,-0.943,-0.001,-0.014
2007-08-24,0.012,0.011,0.008,0.9,-0.368,-1,0.650,0.006,0.000,0.005,0.137,0.001,0.165,0.001,0.372,-0.004,42.333,-0.001,-0.615
2007-08-27,-0.009,0.003,0.001,1,-0.123,1,0.783,0.006,0.000,0.002,-0.106,0.004,0.514,0.001,0.410,-0.001,-0.952,-0.001,-0.077
2007-08-28,-0.022,-0.031,-0.006,0.8,0.945,-1,0.817,0.003,0.000,-0.004,-0.230,0.003,-0.326,0.002,0.196,0.000,5.880,-0.001,0.000
2007-08-29,0.020,-0.003,-0.004,0.4,-0.055,1,0.783,0.001,0.000,0.002,0.282,-0.002,0.664,0.001,-0.273,-0.001,-0.773,-0.001,-0.130
2007-08-30,-0.003,0.017,-0.002,0.8,-0.076,1,0.800,0.000,0.000,0.001,-0.203,0.002,-0.517,0.001,0.181,0.004,6.051,0.000,1.050
2007-08-31,0.010,0.007,0.009,0.7,-0.033,-1,0.767,0.001,0.000,0.003,0.247,0.001,-0.470,0.001,0.081,-0.002,-0.793,-0.000,-0.106
2007-09-04,0.010,0.020,0.006,0.9,-0.353,1,0.767,0.001,0.000,0.004,0.128,-0.001,2.623,0.001,-0.272,0.002,-0.175,0.000,0.098
2007-09-05,-0.009,0.001,0.004,1,0.385,-1,0.767,0.001,-0.167,0.001,-0.157,0.004,-0.336,0.001,0.249,-0.004,-0.809,-0.001,-0.017
2007-09-06,0.002,-0.006,0.001,0.8,-0.231,-1,0.767,0.002,-0.167,0.001,0.144,-0.002,-0.181,0.001,-0.163,-0.003,44.111,-0.001,-0.784
2007-09-07,-0.014,-0.012,-0.007,0.8,0.841,1,0.833,0.002,0.000,-0.002,-0.231,0.006,-0.017,0.002,0.191,-0.006,-0.926,-0.002,-0.268
2007-09-10,-0.002,-0.016,-0.005,0.4,-0.183,1,0.767,0.001,0.000,-0.002,-0.246,0.003,1.074,0.002,0.333,-0.001,15.533,-0.002,-6.049
2007-09-11,0.012,0.010,-0.001,0.3,-0.157,1,0.700,-0.000,0.167,0.001,0.274,-0.002,-0.616,0.001,-0.096,0.001,-0.929,-0.001,-0.085
2007-09-12,0.003,0.014,0.004,0.7,-0.077,1,0.667,-0.001,0.167,0.002,0.199,-0.002,1.030,0.000,-0.216,-0.005,1.343,-0.002,0.216
2007-09-13,0.007,0.010,0.007,0.8,0.030,-1,0.633,-0.000,0.000,0.003,0.171,-0.003,0.053,-0.000,-0.289,0.003,-0.695,-0.001,-0.054
2007-09-14,-0.000,0.007,0.003,1,-0.209,1,0.667,0.000,0.167,0.002,-0.115,0.000,-0.411,-0.000,0.240,0.002,-0.040,-0.000,-0.055
2007-09-17,-0.005,-0.005,0.001,1,-0.099,1,0.700,0.001,0.000,0.001,-0.118,0.001,-0.142,0.000,0.166,-0.001,0.042,-0.000,0.061
2007-09-18,0.029,0.024,0.008,0.8,1.401,-1,0.767,0.004,-0.167,0.007,0.320,0.003,0.901,0.001,0.270,-0.003,3.280,-0.001,0.245
2007-09-19,0.006,0.036,0.010,1,-0.265,1,0.883,0.006,-0.167,0.007,0.178,-0.002,0.253,0.000,-0.267,-0.000,1.617,-0.001,0.515
2007-09-20,-0.007,-0.001,0.009,1,-0.096,-1,0.933,0.006,-0.167,0.004,-0.137,-0.007,0.204,-0.001,-0.438,-0.007,0.925,-0.002,0.654
2007-09-21,0.003,-0.004,0.001,0.8,-0.193,-1,0.933,0.005,0.000,0.004,-0.128,0.004,1.075,-0.000,1.617,0.000,-0.861,-0.002,-0.055
2007-09-24,-0.002,0.001,-0.002,0.7,-0.014,1,0.883,0.005,0.000,0.002,-0.144,-0.001,-0.480,-0.000,-0.321,-0.000,3.507,-0.001,0.262
2007-09-25,-0.002,-0.004,-0.000,0.7,0.020,1,0.833,0.004,0.000,0.001,-0.172,0.001,-0.362,-0.000,0.302,-0.002,-0.178,-0.001,0.171
2007-09-26,0.005,0.003,0.000,0.6,-0.047,-1,0.800,0.003,0.000,0.002,0.198,0.000,1.240,-0.000,0.519,0.003,-0.363,-0.000,-0.093
2007-09-27,0.006,0.011,0.003,0.7,-0.242,1,0.750,0.002,0.167,0.003,0.125,0.002,-0.791,0.000,0.071,-0.002,6.271,-0.001,0.745
2007-09-28,-0.003,0.003,0.003,0.9,0.298,-1,0.733,0.001,0.000,0.002,-0.145,0.000,2.559,0.000,0.237,-0.007,-0.652,-0.002,0.149
2007-10-01,0.011,0.008,0.005,0.7,0.111,-1,0.717,0.001,0.000,0.004,0.188,-0.001,0.904,0.000,-0.365,0.001,-0.004,-0.001,-0.129
2007-10-02,-0.001,0.010,0.002,1,-0.237,1,0.767,0.002,0.000,0.003,-0.121,0.004,-0.129,0.001,0.501,0.006,1.235,0.000,-0.331
2007-10-03,-0.002,-0.003,0.003,0.9,0.054,1,0.800,0.003,0.000,0.002,-0.145,-0.001,-0.537,0.000,-0.155,0.003,-0.511,0.001,-0.242
2007-10-04,0.002,-0.000,-0.000,0.8,-0.354,-1,0.833,0.003,0.000,0.002,0.109,0.001,-0.293,0.001,0.129,-0.001,-0.660,0.000,0.108
2007-10-05,0.012,0.013,0.004,0.9,0.751,1,0.867,0.003,0.000,0.004,0.172,-0.004,0.147,-0.000,-0.131,-0.002,0.747,-0.000,0.171
2007-10-08,-0.005,0.006,0.003,1,-0.470,-1,0.883,0.003,0.000,0.002,-0.078,0.003,-0.458,0.000,0.082,0.006,0.676,0.001,-0.245
2007-10-09,0.009,0.004,0.005,0.6,0.319,-1,0.867,0.003,0.000,0.004,0.111,-0.003,0.541,-0.000,-0.117,-0.004,0.909,0.000,0.618
2007-10-10,-0.002,0.008,0.001,1,0.081,1,0.867,0.003,0.000,0.002,-0.108,0.001,0.040,-0.000,0.137,-0.003,-0.463,-0.001,0.205
2007-10-11,-0.005,-0.006,0.001,0.8,1.296,-1,0.850,0.002,-0.167,0.001,-0.279,0.001,0.790,0.000,0.216,0.001,0.819,-0.000,-0.310
2007-10-12,0.006,0.001,-0.000,0.5,-0.467,-1,0.800,0.002,0.000,0.002,0.206,-0.002,-0.511,-0.000,-0.087,-0.002,-0.844,-0.001,0.070
2007-10-15,-0.008,-0.003,-0.002,0.7,0.294,1,0.767,0.001,0.000,-0.000,-0.221,-0.001,5.446,-0.000,-0.614,-0.001,0.305,-0.001,0.085
2007-10-16,-0.008,-0.016,-0.003,0,0.033,-1,0.600,0.000,0.000,-0.002,-0.294,0.002,-0.729,0.000,0.432,0.001,15.060,-0.000,-1.260
2007-10-17,0.003,-0.005,-0.004,0,0.301,-1,0.500,-0.001,0.000,-0.001,0.541,0.005,-0.158,0.001,0.254,-0.000,-0.850,-0.000,-0.726
2007-10-18,-0.004,-0.001,-0.003,0.1,-0.315,1,0.350,-0.002,0.000,-0.002,-0.240,0.001,0.020,0.001,0.207,-0.006,-0.489,-0.002,-1.353
2007-10-19,-0.026,-0.030,-0.009,0,1.003,1,0.217,-0.003,0.167,-0.007,-0.634,0.005,0.275,0.002,0.218,-0.002,1.261,-0.002,8.661
2007-10-22,0.006,-0.020,-0.008,0,-0.118,-1,0.133,-0.005,0.000,-0.004,1.525,-0.001,-0.231,0.001,-0.138,0.008,0.894,0.001,-1.698
2007-10-23,0.008,0.014,-0.004,0.1,-0.313,1,0.033,-0.005,0.000,-0.001,0.415,-0.000,-0.060,0.001,-0.150,-0.006,-0.591,-0.001,-0.995
2007-10-24,-0.002,0.006,0.004,0.3,0.814,1,0.083,-0.004,0.167,-0.002,-0.532,0.004,1.445,0.002,0.432,-0.002,-0.063,-0.001,-185.500
2007-10-25,0.002,0.001,0.003,0.2,-0.273,1,0.117,-0.003,0.167,-0.001,0.827,-0.001,-0.573,0.001,-0.129,-0.002,-0.474,-0.001,0.528
2007-10-26,0.012,0.014,0.004,0.3,-0.257,-1,0.150,-0.002,-0.167,0.002,0.336,-0.001,0.742,0.001,-0.258,-0.004,2.441,-0.002,1.190
2007-10-29,0.003,0.015,0.006,0.5,-0.395,1,0.233,0.001,0.000,0.002,0.152,0.000,-0.647,0.000,0.123,-0.002,-0.607,-0.002,0.214
2007-10-30,-0.007,-0.004,0.003,0.6,0.245,-1,0.333,0.003,0.000,0.000,-0.165,0.000,0.593,0.000,0.174,0.002,8.292,-0.001,-1.636
2007-10-31,0.010,0.003,0.002,0.5,0.662,1,0.400,0.004,-0.167,0.002,0.327,-0.004,0.338,-0.001,-0.198,-0.005,-0.704,-0.002,-0.760
2007-11-01,-0.023,-0.013,-0.007,0.7,0.507,-1,0.467,0.002,-0.167,-0.003,-0.372,0.006,0.216,0.001,0.301,0.003,0.277,-0.001,4.044
2007-11-02,0.001,-0.022,-0.004,0.3,-0.005,1,0.483,0.001,0.000,-0.002,0.589,0.001,-0.251,0.001,0.173,-0.010,-0.298,-0.003,-0.563
2007-11-05,-0.008,-0.006,-0.010,0.4,-0.315,-1,0.500,-0.002,0.000,-0.004,-0.254,-0.003,-0.400,0.000,-0.089,0.005,0.282,-0.001,1.650
2007-11-06,0.013,0.006,0.002,0.2,-0.216,-1,0.450,-0.002,-0.167,0.000,0.267,-0.002,-0.121,-0.000,-0.086,-0.003,-0.663,-0.002,-0.210
2007-11-07,-0.027,-0.014,-0.007,0.6,0.725,-1,0.450,-0.004,0.000,-0.006,-0.363,0.001,0.590,-0.000,0.149,-0.005,3.783,-0.002,-1.272
2007-11-08,-0.005,-0.032,-0.006,0,0.221,-1,0.367,-0.005,0.000,-0.006,-0.696,0.001,5.229,0.000,0.806,-0.001,0.116,-0.002,5.226
2007-11-09,-0.014,-0.019,-0.015,0,-0.258,1,0.250,-0.007,0.167,-0.008,-1.696,0.001,-0.935,0.000,0.029,0.000,-0.130,-0.002,0.000
2007-11-12,-0.010,-0.024,-0.010,0,-0.125,-1,0.200,-0.008,-0.167,-0.008,2.133,0.002,0.325,0.001,0.037,0.009,0.428,0.001,-1.043
2007-11-13,0.030,0.020,0.002,0,-0.214,-1,0.133,-0.006,0.000,0.000,-0.535,-0.003,0.403,-0.000,-0.051,-0.004,-0.169,-0.000,-20.368
2007-11-14,-0.003,0.028,0.006,0.5,0.206,1,0.183,-0.005,0.000,-0.000,1.390,0.000,-0.012,-0.000,0.000,0.000,-0.205,-0.000,-0.836
2007-11-15,-0.014,-0.017,0.004,0.5,0.141,-1,0.167,-0.003,0.000,-0.003,0.664,0.004,0.428,0.001,0.075,0.003,-0.049,0.000,-4.859
2007-11-16,0.002,-0.013,-0.005,0.3,0.174,1,0.217,-0.003,0.167,-0.002,-0.468,-0.000,0.054,0.001,-0.074,-0.001,-0.322,0.000,-0.854
2007-11-19,-0.014,-0.012,-0.009,0.3,-0.133,-1,0.267,-0.002,-0.167,-0.005,0.763,0.003,0.448,0.001,0.115,-0.003,6.520,-0.001,-43.904
2007-11-20,0.006,-0.008,-0.002,0.2,0.549,1,0.300,-0.001,0.167,-0.002,-0.671,-0.002,-0.379,0.000,-0.064,-0.009,-0.637,-0.002,0.371
2007-11-21,-0.020,-0.014,-0.009,0.4,-0.376,-1,0.367,-0.002,0.000,-0.006,1.271,0.006,-0.449,0.002,0.038,-0.005,-0.548,-0.003,0.122
